step,before,after_grow,after_prune,n_dupli,n_split,n_prune
6300,209587,221354,133236,6297,5470,88118
6400,133236,149382,148873,10472,5674,509
6500,148873,167746,167403,13789,5084,343
6600,167403,185590,185116,13972,4215,474
6700,185116,202738,202333,14094,3528,405
6800,202333,218641,218256,13320,2988,385
6900,218256,233894,233513,12942,2696,381
7000,233513,252777,252459,16358,2906,318
7100,252459,263942,263515,9576,1907,427
7200,263515,278628,278259,13052,2061,369
7300,278259,293400,293024,13223,1918,376
7400,293024,306764,306386,12018,1722,378
7500,306386,319934,319508,11844,1704,426
7600,319508,332981,332603,11802,1671,378
7700,332603,345614,345218,11514,1497,396
7800,345218,358861,358448,11986,1657,413
7900,358448,370583,370183,10844,1291,400
8000,370183,379676,379221,8436,1057,455
8100,379221,389912,389567,9618,1073,345
8200,389567,400218,399780,9570,1081,438
8300,399780,410799,410371,9753,1266,428
8400,410371,420081,419595,8680,1030,486
8500,419595,431450,430957,10735,1120,493
8600,430957,437676,437163,5885,834,513
8700,437163,445287,444857,7358,766,430
8800,444857,452808,452334,7151,800,474
8900,452334,459279,458789,6271,674,490
9300,458789,463063,376342,3424,850,86721
9400,376342,386143,384582,8146,1655,1561
9500,384582,392286,391103,6662,1042,1183
9600,391103,400093,399135,7899,1091,958
9700,399135,408972,408132,8505,1332,840
9800,408132,417850,417097,8671,1047,753
9900,417097,425580,424935,7459,1024,645
10000,424935,434246,433629,8332,979,617
10100,433629,440336,439710,6023,684,626
10200,439710,447315,446702,6825,780,613
10300,446702,453310,452682,5963,645,628
10400,452682,461413,460805,7885,846,608
10500,460805,465867,465264,4576,486,603
10600,465264,474807,474166,8655,888,641
10700,474166,481011,480435,6263,582,576
10800,480435,489141,488616,7878,828,525
10900,488616,496968,496429,7646,706,539
