variant,remaining_gaussians,total_gaussians,fraction_removed,held_out_psnr,held_out_ssim,held_out_lpips,psnr_delta_vs_baseline
baseline_d,496429,496429,0.0,21.805051803588867,0.8340530395507812,0.38220810890197754,0.0
opacity_ge_0.005,472338,496429,0.0485,,,,
opacity_ge_0.01,452017,496429,0.0895,21.80417823791504,0.8340438604354858,0.38220423460006714,-0.001
opacity_ge_0.02,421964,496429,0.15,21.799365997314453,0.833979070186615,0.38218116760253906,-0.006
opacity_ge_0.05,363163,496429,0.2684,,,,
scale_exclude_top1pct,491464,496429,0.01,,,,
scale_exclude_top0.5pct,493946,496429,0.005,,,,
scale_exclude_top0.1pct,495932,496429,0.001,21.739730834960938,0.8335524201393127,0.38356807827949524,-0.065
combo_opacity0.01_and_scale_top1pct,447161,496429,0.0992,20.41095733642578,0.8214004635810852,0.4194580316543579,-1.394
combo_opacity0.02_and_scale_top0.5pct,419598,496429,0.1548,21.260122299194336,0.8293330669403076,0.3976946473121643,-0.545
spatial_outlier_removed,496368,496429,0.0001,,,,
