step,before,after_grow,after_prune,n_dupli,n_split,n_prune
6300,209587,221329,133349,6318,5424,87980
6400,133349,149569,149113,10521,5699,456
6500,149113,167953,167603,13783,5057,350
6600,167603,185312,184857,13764,3945,455
6700,184857,201802,201374,13665,3280,428
6800,201374,217715,217296,13454,2887,419
6900,217296,232981,232613,13025,2660,368
7000,232613,251652,251316,16124,2915,336
7100,251316,262456,262063,9325,1815,393
7200,262063,277263,276953,13040,2160,310
7300,276953,292081,291714,13200,1928,367
7400,291714,305762,305376,12205,1843,386
7500,305376,318944,318585,11770,1798,359
7600,318585,332161,331778,11912,1664,383
7700,331778,344980,344601,11735,1467,379
7800,344601,358137,357712,12034,1502,425
7900,357712,369915,369492,10879,1324,423
8000,369492,378933,378469,8416,1025,464
8100,378469,389318,388941,9768,1081,377
8200,388941,399512,399065,9467,1104,447
8300,399065,410115,409704,9838,1212,411
8400,409704,419254,418805,8573,977,449
8500,418805,430714,430230,10730,1179,484
8600,430230,436875,436353,5822,823,522
8700,436353,444559,444117,7365,841,442
8800,444117,452117,451644,7203,797,473
8900,451644,458578,458081,6263,671,497
9300,458081,462391,374519,3436,874,87872
9400,374519,384285,382664,8036,1730,1621
9500,382664,390358,389122,6676,1018,1236
9600,389122,398140,397185,7880,1138,955
9700,397185,407205,406394,8675,1345,811
9800,406394,415908,415154,8483,1031,754
9900,415154,423587,422893,7470,963,694
10000,422893,432242,431580,8314,1035,662
10100,431580,438362,437699,6053,729,663
10200,437699,445373,444766,6899,775,607
10300,444766,451297,450676,5889,642,621
10400,450676,459401,458770,7928,797,631
10500,458770,463791,463266,4490,531,525
10600,463266,472613,472011,8498,849,602
10700,472011,479029,478436,6395,623,593
10800,478436,487386,486814,8056,894,572
10900,486814,495002,494503,7500,688,499
