step,before,after_grow,after_prune,n_dupli,n_split,n_prune
6300,209587,221392,132967,6365,5440,88425
6400,132967,149620,149154,10593,6060,466
6500,149154,168095,167700,13723,5218,395
6600,167700,185759,185253,13737,4322,506
6700,185253,202569,202136,13612,3704,433
6800,202136,218465,218074,13189,3140,391
6900,218074,234128,233763,13104,2950,365
7000,233763,252775,252411,15983,3029,364
7100,252411,263999,263608,9616,1972,391
7200,263608,279414,279093,13529,2277,321
7300,279093,294366,293954,13265,2008,412
7400,293954,308101,307735,12338,1809,366
7500,307735,321400,321014,11933,1732,386
7600,321014,334601,334170,11903,1684,431
7700,334170,347226,346830,11573,1483,396
7800,346830,360582,360165,12149,1603,417
7900,360165,372245,371819,10738,1342,426
8000,371819,381301,380883,8446,1036,418
8100,380883,391602,391225,9657,1062,377
8200,391225,401654,401240,9372,1057,414
8300,401240,412326,411891,9838,1248,435
8400,411891,421604,421128,8716,997,476
8500,421128,432903,432446,10657,1118,457
8600,432446,438986,438464,5741,799,522
8700,438464,446719,446287,7430,825,432
8800,446287,454166,453659,7134,745,507
8900,453659,460624,460145,6356,609,479
9300,460145,464418,377907,3419,854,86511
9400,377907,387074,385365,7669,1498,1709
9500,385365,392982,391830,6605,1012,1152
9600,391830,400871,399870,7836,1205,1001
9700,399870,409595,408699,8395,1330,896
9800,408699,418179,417429,8458,1022,750
9900,417429,425871,425169,7424,1018,702
10000,425169,434554,433896,8346,1039,658
10100,433896,440409,439718,5821,692,691
10200,439718,447258,446610,6781,759,648
10300,446610,453202,452586,5943,649,616
10400,452586,461260,460686,7870,804,574
10500,460686,465667,465143,4451,530,524
10600,465143,474467,473823,8499,825,644
10700,473823,480804,480189,6337,644,615
10800,480189,488866,488253,7883,794,613
10900,488253,496365,495851,7448,664,514
