metric,D4_Control_0.15,E4_Scale_Control_0.08
cull_scale_thresh,0.15,0.08
final_gaussian_count,494503,495851
peak_gaussian_count (last refine after_grow),495002,496365
elapsed_s,3677.311,3737.829
cost_usd,3.0316,3.0815
harness_valid,True,True
refine_events,44,44
population_guard_tripped,,
held_out_psnr_15999,21.78530502319336,21.77264404296875
held_out_ssim_15999,0.8340202569961548,0.8338136076927185
held_out_lpips_15999,0.38263946771621704,0.38313421607017517
held_out_psnr_8000,20.388317108154297,20.293888092041016
max_scale,0.5576303601264954,0.3545396327972412
p99,0.026016034185886383,0.024358974769711494
p99.5,0.038071002811193466,0.031821947544813156
p99.9,0.08252857625484467,0.05085015669465065
count_above_0.08,547,49
count_above_0.10,251,24
count_above_0.15,41,9
