metric,G5_Control_0.15,H5_Scale_Control_0.08
cull_scale_thresh,0.15,0.08
final_gaussian_count,507321,507199
peak_gaussian_count,507887,507749
elapsed_s,3390.911,3378.315
cost_usd,2.7955,2.7851
harness_valid,True,True
population_guard_tripped,,
max_scale,1.0181775093078613,0.43762722611427307
p99,0.025335900485515594,0.024100443348288536
p99.5,0.03701978549361229,0.031250014901161194
p99.9,0.08046279847621918,0.04991834610700607
count_above_0.08,510,51
count_above_0.10,229,18
count_above_0.15,38,5
grouped_val_psnr_mean,21.123347690230922,21.108300580790168
grouped_val_psnr_median,21.173169672489166,21.126044064760208
grouped_val_psnr_p10,20.16662952899933,20.149634218215944
grouped_val_psnr_worst,19.055012822151184,19.02207338809967
grouped_val_ssim_mean,0.8157356250050821,0.815602724195311
grouped_val_ssim_median,0.8157430663704872,0.8151395991444588
grouped_val_ssim_p10,0.7918512672185898,0.7920070599764586
grouped_val_ssim_worst,0.7845195457339287,0.7844140604138374
grouped_val_lpips_mean,0.3861966526233836,0.3871436823698643
grouped_val_lpips_median,0.39034035988152027,0.39225435722619295
grouped_val_lpips_p10_best,0.3565221305936575,0.35715600810945036
grouped_val_lpips_worst,0.4263714235275984,0.42840573750436306
n_withheld_panoramas,38,38
n_withheld_views_scored,608,608
corr_dist_vs_psnr,0.014,0.006
corr_dist_vs_ssim,-0.305,-0.311
corr_dist_vs_lpips,0.208,0.219
